,Below Basic,Basic,Intermediate,Advanced
49,"A 78-year-old woman is in the hospital with jaundice for 1 week. A CT scan shows a possible pancreatic cancer mass. The doctor comes 3 hours later to talk about the prognosis and consent for a biopsy tomorrow. The patient only speaks Mandarin. Her husband, who is also in the room, speaks both languages. The hospital interpreter can only come tomorrow. The husband is anxious and wants to interpret. What should the doctor do next?","A 78-year-old woman is admitted to the hospital because she has had jaundice for 1 week. A CT scan of her abdomen shows a mass that might be pancreatic cancer. Three hours later, the on-call doctor comes to discuss the prognosis and get consent for a biopsy planned for the next morning. The doctor greets the woman and her husband, then finds out the patient speaks only Mandarin. Her husband speaks both Mandarin and English. The hospital interpreter won't be available until tomorrow morning. The husband is anxious and insists on interpreting for his wife. What is the best next step for the doctor?","A 78-year-old woman is hospitalized due to a 1-week history of jaundice, and a CT scan indicates a mass that suggests pancreatic cancer. Three hours later, a doctor comes to discuss the prognosis and obtain consent for a biopsy scheduled for the next day. Upon entering, the doctor finds the woman only speaks Mandarin. Her husband, present in the room, is fluent in both Mandarin and English, while the hospital interpreter will not be available until the next morning. The husband is anxious and insists on acting as the interpreter. What should be the most appropriate next step for the physician?","A 78-year-old woman is admitted to the hospital with jaundice persisting for one week. A CT scan reveals a mass indicative of pancreatic cancer. Three hours later, the on-call physician enters to discuss the prognosis and secure consent for a biopsy set for the following morning. On entering the room, the physician discovers the patient only speaks Mandarin. Her husband, present there, is fluent in both Mandarin and English; however, the hospital interpreter is unavailable until tomorrow morning. The husband appears anxious and insists on acting as the translator. What is the most appropriate next step in management for the physician?",
50,The study found a link between LDL and hs-CRP levels. The correlation is 0.6. How can we say LDL and hs-CRP relate?,"A study looked at how risk factors affect heart health, and it found a 0.6 correlation between LDL and hs-CRP levels. Which statement best explains this connection between LDL and hs-CRP?","In a recent study assessing the impact of risk factors on heart health, researchers discovered a correlation of 0.6 between serum LDL-cholesterol levels and serum high-sensitivity C-reactive protein levels. Which statement best describes the relationship between LDL concentration and hs-CRP concentration?",An evaluation of a study on cardiovascular health uncovered a 0.6 correlation between serum LDL-cholesterol concentrations and serum high-sensitivity C-reactive protein concentrations. Which statement best articulates the relationship between LDL concentration and hs-CRP concentration based on this evidence?,
51,"A 72-year-old man goes to the doctor for a check-up. He has no history of major diseases and has never smoked. His oxygen level is 98% on room air. The doctor finds his skin is very red and his spleen is big. His lab results show: Hemoglobin 21.1 g/dL, Hematocrit 61%, Leukocyte count 15,000/mm3, Segmented neutrophils 68%, Basophils 4%, Lymphocytes 28%, Platelet count 501,000/mm3, and increased Leukocyte alkaline phosphatase. A blood test shows some big platelets. Which cells most likely have the primary blood defect in this patient?","A 72-year-old man arrives at the physician's office for a routine health exam. He reports no significant personal or family illnesses and he does not smoke. His oxygen saturation level on room air is 98%. On examination, his skin appears very red and his spleen is enlarged. Lab results show: Hemoglobin 21.1 g/dL, Hematocrit 61%, Leukocyte count 15,000/mm3, Segmented neutrophils 68%, Basophils 4%, Lymphocytes 28%, Platelet count 501,000/mm3, and elevated Leukocyte alkaline phosphatase. A blood smear reveals occasional giant platelets. In which cells is the primary blood defect in this patient most likely found?","A 72-year-old man comes to see the doctor for a routine health maintenance examination. He has no personal or family history of major medical conditions and has never been a smoker. His room air pulse oximetry indicates an oxygen saturation of 98%. On physical examination, his skin appears plethoric and he has splenomegaly. Laboratory investigations reveal: Hemoglobin 21.1 g/dL, Hematocrit 61%, Leukocyte count 15,000/mm3, Segmented neutrophils 68%, Basophils 4%, Lymphocytes 28%, Platelet count 501,000/mm3, and an increase in Leukocyte alkaline phosphatase. A peripheral blood smear shows occasional giant platelets. In which type of cells is the primary hematologic defect in this patient most likely to have occurred?","A 72-year-old male presents for a health maintenance examination without a significant history of major illnesses, either personal or familial, and he has abstained from smoking cigarettes. His pulse oximetry on room air reports an oxygen saturation of 98%. The physical exam reveals plethoric skin and splenomegaly. Laboratory findings are as follows: Hemoglobin 21.1 g/dL, Hematocrit 61%, Leukocyte count 15,000/mm3, Segmented neutrophils 68%, Basophils 4%, Lymphocytes 28%, Platelet count 501,000/mm3, with elevated Leukocyte alkaline phosphatase. Occasional giant platelets are noted on a peripheral blood smear. The primary hematologic defect in this patient is most likely associated with which of the following cells?",
52,"A newborn weighing 3800 g (8 lb 6 oz) is born vaginally at 39 weeks after a normal pregnancy. The Apgar scores are 9 and 9 at 1 and 5 minutes. The baby is crying and has pink skin. During a physical exam, a vagina and a structure like a penis are seen, with the urethra at the base near the vagina opening. Chromosome tests are done. If the karyotype is 46,XX, what is the most likely cause of the intersex findings in this newborn?","A 3800-g (8-lb 6-oz) newborn is delivered vaginally at 39 weeks of gestation following an uncomplicated pregnancy. Apgar scores are 9 and 9 at 1 and 5 minutes. The newborn is crying and has pink skin. During a physical examination, both a vagina and a structure resembling a penis are observed, with the urethra located at the base near the vaginal opening. Chromosomal analysis is ordered. If the karyotype is 46,XX, which is the most likely cause of the intersex findings in this newborn?","A newborn weighing 3800 g (8 lb 6 oz) is delivered vaginally at 39 weeks’ gestation after an uncomplicated pregnancy, with Apgar scores of 9 at both 1 and 5 minutes. The newborn is crying, pink-skinned, and appears vigorous. During a physical examination, both a vagina and a structure resembling a penis are found, with the urethra located at the base near the vaginal opening. A chromosomal analysis is ordered. Which of the following is the most likely cause of the intersex findings if the karyotype is 46,XX?","A 3800-g (8-lb 6-oz) newborn is vaginally delivered at 39 weeks' gestation following an uncomplicated pregnancy, with Apgar scores of 9 at 1 and 5 minutes. The newborn presents as crying, with pink skin, and appears vigorous. Physical examination reveals a vagina and a penile-like structure, with the urethra situated at the base near the vaginal opening. Chromosomal analysis has been requested. Given that the karyotype is identified as 46,XX, which is the most likely cause of the intersex findings in this newborn?",
53,"An 80-year-old woman fell out of her wheelchair at home and was brought to the emergency room 30 minutes later. She has been to the emergency room twice in the last 3 months for falls. She lives with her daughter and son-in-law, who say they ""do the best we can."" She has dementia (Alzheimer's type), heart disease, type 2 diabetes, and high blood pressure. She takes amlodipine, aspirin, atorvastatin, donepezil, long-acting insulin, and lisinopril. She had both legs amputated below the knees 5 years ago because of infected foot ulcers. She uses a wheelchair. She had heart surgery 10 years ago. She smokes half a pack of cigarettes daily for 60 years and drinks one shot of whiskey every night. She looks thin, ill, and untidy. Her temperature is 37.2°C (99.0°F), pulse 80/min, breathing 20/min, and blood pressure 120/80 mm Hg. Her oxygen level is 95% with 2 L/min of oxygen. She has muscle loss on her temples and bruises on her abdomen and limbs. No other issues are found. What is the first important piece of history to ask this patient?","An 80-year-old woman, who came to the emergency department 30 minutes after falling out of her wheelchair at home, has visited for falls twice in 3 months. She resides with her daughter and son-in-law, who say they ""do the best we can."" Her conditions include dementia (Alzheimer's type), coronary artery disease, type 2 diabetes, and hypertension. She takes amlodipine, aspirin, atorvastatin, donepezil, long-acting insulin, and lisinopril. Five years prior, she underwent leg amputations below the knee due to infected foot ulcers and now uses a wheelchair. Ten years ago, she had triple coronary artery bypass surgery. She has smoked half a pack of cigarettes daily for 60 years and drinks one shot of whiskey each night. Appearance-wise, she is thin, appears sick, and unkempt. The vitals are: temperature 37.2°C (99.0°F), pulse 80/min, respiration 20/min, blood pressure 120/80 mm Hg, with 95% oxygen saturation on 2 L/min via nasal cannula. The exam shows wasting of temporal muscles and scattered bruises on her abdomen and limbs, with no further abnormalities. What initial history is most appropriate to obtain from this patient?","An 80-year-old woman, brought to the emergency department 30 minutes after a fall from her wheelchair at home, has now visited the ED twice within the last 3 months for falls. She lives with her daughter and son-in-law, who state they ""do the best we can."" Her health conditions include dementia, Alzheimer type, coronary artery disease, type 2 diabetes mellitus, and hypertension. Her current medications are amlodipine, aspirin, atorvastatin, donepezil, long-acting insulin, and lisinopril. Five years ago, she had bilateral below-the-knee amputations due to infected ulcers on her feet and now utilizes a wheelchair for mobility. A decade ago, she underwent three-vessel coronary artery bypass grafting. She has a 60-year history of smoking half a pack of cigarettes daily and consumes one shot of whiskey every night. She appears thin, unwell, and untidy. On examination, her temperature is 37.2°C (99.0°F), pulse rate 80 per minute, respirations 20 per minute, and blood pressure 120/80 mm Hg. On 2 liters per minute of oxygen by nasal cannula, her oxygen saturation is 95%. Physical examination reveals temporal wasting and scattered ecchymoses across the abdomen and extremities. No other abnormalities are detected. What is the most appropriate initial piece of history to gather from this patient?","An 80-year-old woman presents to the emergency department 30 minutes after falling from her wheelchair at home, marking her second emergency visit for falls in 3 months. She cohabitates with her daughter and son-in-law, who report they ""do the best we can."" Her medical history includes dementia, Alzheimer type, coronary artery disease, type 2 diabetes mellitus, and hypertension. She is on amlodipine, aspirin, atorvastatin, donepezil, long-acting insulin, and lisinopril. She had bilateral below-the-knee amputations 5 years ago due to infected foot ulcers, necessitating wheelchair use for ambulation. Ten years ago, she underwent three-vessel coronary artery bypass grafting. The patient has a 60-year smoking history, averaging half a pack daily, and she consumes one shot of whiskey each night. She is noted to be thin, appearing ill and disheveled. Her vital signs are a temperature of 37.2°C (99.0°F), pulse 80/minute, respirations 20/minute, and a blood pressure of 120/80 mm Hg. With 2 L/min oxygen via nasal cannula, her oxygen saturation is 95%. Physical examination demonstrates temporal wasting with scattered ecchymoses over the abdomen and extremities, without additional abnormalities. Which aspect of her history is most critical to obtain initially from this patient?",
54,"A 25-year-old woman has had pain during her periods for many years. The pain starts on the first day of her 5-day period and lasts all day. She says the pain is 10 out of 10. What type of medicine should be tried first to help her, and how does it work?","A 25-year-old woman visits the doctor because she has had menstrual pain for a long time. The pain begins on the first day of her 5-day period and continues all day. She rates this pain as a 10 on a 10-point scale. Which medication should be given first to help her, and what is its action mechanism?","A 25-year-old woman seeks medical advice due to a chronic history of severe menstrual pain. The pain initiates on the first day of her 5-day period, persisting throughout the day, with an intensity rated as 10 on a 10-point scale. What is the first recommended pharmacological treatment to alleviate her pain, and what is its mechanism of action?","A 25-year-old woman consults a physician because of a prolonged history of painful menses. The pain begins on the initial day of her 5-day menstrual cycle and endures all day, with her describing the pain as a 10 on a 10-point scale. Which initial pharmacotherapy is most suitable to relieve this patient’s pain, and what is its mechanism of action?",
55,"A study is done to check wound healing differences between two skin closing methods after cesarean delivery. 1,000 women are in the study, which was 85% of all having the procedure. Results show 12 infections per 1,000 women with Procedure A and 18 infections per 1,000 women with Procedure B. What is the best estimate of the absolute risk reduction of infections for Procedure A compared to Procedure B?","A randomized clinical trial was conducted to compare wound healing and cosmetic differences between two surgical methods for closing skin wounds after cesarean delivery. In this study, 1,000 women having cesarean delivery in a 6-month period participated, which represented 85% of all undergoing the procedure. Results indicated a wound infection rate of 12 cases per 1,000 women for Procedure A, while Procedure B had 18 cases per 1,000 women. What is the best estimate of the absolute risk reduction for wound infections when using Procedure A compared to Procedure B?","A randomized clinical trial is conducted to compare wound healing and cosmetic outcomes between two surgical methods for closing skin wounds after cesarean delivery. A total of 1,000 women who underwent cesarean delivery over a 6-month period participated in this study, making up 85% of all patients undergoing the procedure. Results demonstrate a wound infection rate of 12 cases per 1,000 women in Procedure A and 18 cases per 1,000 women in Procedure B. Determine the best estimate for the absolute risk reduction in wound infections with Procedure A compared to Procedure B.","In a randomized clinical trial designed to evaluate differences in wound healing and cosmetic outcomes between two surgical techniques for closing skin wounds post-cesarean delivery, 1,000 women participated during a 6-month period, representing 85% of the total undergoing the procedure. The trial results indicate a wound infection rate of 12 cases per 1,000 women using Procedure A, compared to 18 cases per 1,000 women for Procedure B. Calculate the best estimate of the absolute risk reduction in wound infection rates when utilizing Procedure A as opposed to Procedure B.",
56,"A 58-year-old man with chronic obstructive pulmonary disease visits the clinic with his wife for a follow-up check-up. He has been smoking one pack of cigarettes daily for 35 years and tried quitting twice without success. Today, when asked about stopping smoking, he says he is not ready. His wife says his smoking makes her cough and causes chest tightness. What should the doctor say to the patient?","A 58-year-old man with chronic obstructive pulmonary disease comes with his wife to the clinic for a follow-up exam. He has smoked one pack of cigarettes every day for 35 years and has tried quitting twice, without success. During today's visit, when the doctor discusses smoking cessation, he says he is not ready to quit. His wife mentions that his smoking causes her to cough and feel chest tightness. What is the best thing for the doctor to tell him?","A 58-year-old man with chronic obstructive pulmonary disease comes to the clinic accompanied by his wife for a follow-up examination. For 35 years, he has smoked one pack of cigarettes daily and has unsuccessfully tried to quit smoking twice. At today's visit, when asked about smoking cessation, he indicates he is not ready to quit. The patient’s wife mentions that her husband's smoking causes her coughing and chest tightness. Which statement should the physician make to the patient?","A 58-year-old man, who has a history of chronic obstructive pulmonary disease, is seen at the clinic for a follow-up examination with his wife. He has a 35-year history of smoking one pack of cigarettes per day and has attempted to quit on two occasions, both times unsuccessfully. At this consultation, when queried about smoking cessation, he expresses that he is not ready to quit yet. His wife notes that her husband's smoking contributes to her coughing and chest tightness. What is the most appropriate statement for the physician to make in this scenario?",
57,"A 20-year-old woman is in the hospital for eating disorders and started fluoxetine. After seven days, she has pain in her cheeks for two days and feels ""worthless and fat."" She is 170 cm tall, weighs 77 kg, with a BMI of 27 kg/m2. Physical exam shows swelling of glands, teeth discoloration, and hand scars. Her mental exam shows no thoughts of suicide, and lab tests are normal. What medication action should help her current symptoms?","A 20-year-old woman hospitalized for eating disorders started fluoxetine a week ago. Now, she has moderate pain inside her cheeks for two days and feels ""worthless and fat."" She is 170 cm tall, weighs 77 kg, with a BMI of 27 kg/m2. Exam reveals swelling in the parotid and submandibular glands, discolored teeth, and scarring on her right hand. Her mental state is stable, and lab results are normal. Which medication mechanism of action is best to treat her current symptoms?","A hospitalized 20-year-old woman, admitted for treatment of eating disorders and started on fluoxetine, reports moderate mouth pain on the inside of her cheeks after seven days. She also feels ""worthless and fat."" Her height is 170 cm, weight is 77 kg, and her BMI is 27 kg/m2. Examination shows bilateral swelling of the parotid and submandibular glands, teeth discoloration, and right hand scars. Mental and lab exams show no suicide risk or abnormalities. What type of medication mechanism is most appropriate for her current symptoms?","Seven days after being admitted to the psychiatric unit for eating disorder treatment and starting fluoxetine, a 20-year-old female reports a two-day history of moderate oral pain on both inner cheeks, feeling ""worthless and fat."" Standing at 170 cm and weighing 77 kg (BMI 27 kg/m2), her vital signs are normal. Examination reveals bilaterally swollen parotid and submandibular glands, several discolored teeth, and right hand dorsum scarring. Without suicidal thoughts and normal lab results, what medication mechanism is suitable for addressing her current symptoms?",
58,"A 35-year-old woman, pregnant for the second time, is 15 weeks along and in active labor at the hospital. The doctor says the birth can't be stopped, and the baby won't survive. After the doctor explains this, she wants everything done to save him. What should the doctor say first after showing understanding?","A 35-year-old woman who has been pregnant twice, with one previous birth, is in active labor at 15 weeks' gestation in the hospital. The medical team explains that the birth cannot be stopped and the fetus will not survive. She insists on resuscitating the baby. What should the physician do first, after empathizing with her?","A 35-year-old woman, who is pregnant for the second time and has one child, is brought to the hospital in active labor at 15 weeks’ gestation. The medical team finds that the birth is inevitable and the fetus will not survive. After this is communicated to the patient, she requests all efforts to resuscitate the baby. What is the physician’s most appropriate initial response, after expressing empathy?","A 35-year-old woman, gravida 2, para 1, and at 15 weeks’ gestation, arrives at the hospital in active labor. The care team confers and concludes that the birth cannot be prevented, and the fetus will not survive. Despite explaining these circumstances to the patient, she requests full resuscitation efforts. What should be the physician's most appropriate response after empathizing with the patient?",
59,"A 48-year-old contractor interpreter working for the military in Afghanistan has nonhealing sores on his neck and arms for 20 days. These ulcers became larger, released clear fluid, and did not heal. He was sleeping on the floor in an old building with temperatures from 21.1°C (70.0°F) to 43.3°C (110.0°F). He thought they were bug bites. His health is normal otherwise. The doctor sees six 2-cm lumps; each has a 0.6-cm sore in the middle. They have no pus. Which insect is the likely cause of these sores?","A 48-year-old man, who works as a contractor interpreter with the military in Afghanistan, visits a clinic with nonhealing, painless sores on his neck and arms for 20 days. The sores grew, started to leak clear fluid, and turned into shallow ulcers. Initially, he was sleeping on a mattress on the floor in an old building, with temperatures between 21.1°C (70.0°F) and 43.3°C (110.0°F). He thought the sores came from bug bites. His vital signs are normal. A physical exam reveals six 2-cm papular lesions on his neck and arms, with a 0.6-cm ulcer in each center. There is no pus. Which vector is most likely responsible for these lesions?","A 48-year-old contractor interpreter for the military in Afghanistan presents at the clinic with a 20-day history of nonhealing, painless ulcers on his neck and arms. The lesions enlarged over time, expressed clear fluid, and formed shallow ulcers. He was initially sleeping on a floor mattress in an old building with an ambient temperature ranging from 21.1°C (70.0°F) to 43.3°C (110.0°F). The patient first thought the lesions were bug bites. Vital signs are normal. Physical examination reveals six 2-cm papular lesions on the neck and upper extremities, each with a 0.6-cm central ulcer without pus. Which vector is most likely the source of these lesions?","A 48-year-old man, serving as a contractor interpreter for the military in Afghanistan, presents at a medical clinic with a 20-day history of nonhealing, painless ulcers on his neck and arms. These lesions, initially mistaken for bug bites, enlarged, began exuding clear fluid, and evolved into shallow ulcers. Early during his stay, he was sleeping on a floor mattress in an old building, subjected to an ambient temperature of 21.1°C (70.0°F) to 43.3°C (110.0°F). Vital signs remain within normal limits. On examination, there are six 2-cm papular lesions with central 0.6-cm ulcers on the neck and upper extremities, without pus or exudate. What vector is the most probable culprit for these lesions?",
60,"A 17-year-old boy goes to the clinic for a check-up. He has had full-body weakness three times: at ages 13, 16, and 17. This happens after playing football and lying down. The weakness goes away in 6 hours. It happens after eating a lot of pasta and salty foods before playing. Blood tests are normal after each time. He is healthy with no serious illnesses or medications. Which blood substance will likely be irregular during these episodes?","A 17-year-old boy visits the clinic for a follow-up exam. He has had full-body weakness three times: at ages 13, 16, and 17. These episodes occurred after he lay down post-football scrimmage. The weakness faded within 6 hours. He notices it happens after eating much pasta and salty foods before games. Blood tests after episodes are normal. He has no serious past illnesses and takes no medications. Which serum concentration might be abnormal during one of these episodes?","A 17-year-old boy is at the clinic for a follow-up examination after experiencing full-body weakness at ages 13, 16, and 17. Each episode happened when he lay down after a football scrimmage. The weakness resolved within 6 hours, and he was symptom-free by the time of the medical evaluation. He thinks the episodes are linked to eating a lot of pasta and salty foods before games. The blood tests conducted after the episodes are normal. He is otherwise healthy with no severe illnesses or ongoing medications. Which serum concentration is probable to be abnormal during an episode?","A 17-year-old boy presents for a follow-up with a history of full-body weakness at ages 13, 16, and 17, each episode occurring post-football scrimmage when he lay down. These episodes resolved spontaneously within 6 hours, with no symptoms by medical assessment time. The patient associates these occurrences with consuming large amounts of pasta and salty foods prior to games. Blood tests following episodes have been within normal limits. He has no severe illness history and is not on any medications. Which serum concentration is most likely to be abnormal if tested during an episode?",
61,"A baby girl, 3 days old, is at the hospital because yellow milky fluid is coming from her nipples. Her 20-year-old mom had no problems during pregnancy or delivery. Everything else looks normal for the baby. What hormone might cause this issue?","A 3-day-old girl is brought to the hospital due to yellowish, milky fluid leaking from her nipples. Her mother, aged 20, had an uncomplicated pregnancy and delivery. The baby is otherwise in good health. Which hormone is likely causing this symptom?","A newborn girl, 3 days old, is at the hospital because there is a yellowish, milky fluid coming from her nipples. Her 20-year-old mother had a term delivery with no complications during pregnancy or birth. The baby's examination is otherwise normal. Which hormone is most likely responsible for this observation?","A 3-day-old female infant presents at the hospital with yellowish, milky fluid discharge from both nipples. She was born at term to a 20-year-old woman, and her pregnancy and delivery were without complications. The newborn's examination reveals no other abnormalities. Which hormone is most likely causing this finding?",
62,"A 37-year-old carpenter man is in the emergency room 45 minutes after he suddenly has fever, shortness of breath, and fast heartbeats. Four days ago he hurt his left hand. He used antibacterial cream and a bandage on it. His temperature is 39°C (102.2°F), his pulse is 120/min, he breathes 28 times a minute, and his blood pressure is 100/60 mm Hg. His left hand is swollen, red, and has a 2-cm dying puncture wound. The white blood cell count is 14,000/mm3. The blood gas test shows P CO2 is less than 32 mm Hg. What is the most likely germ making him sick?","A 37-year-old man, who works as a carpenter, is brought to the emergency room 45 minutes after he suddenly gets a fever, shortness of breath, and palpitations. Four days before, he had a puncture wound on his left hand, which he treated with antibacterial cream and a bandage. His vital signs include a temperature of 39°C (102.2°F), pulse of 120 beats per minute, respirations of 28 per minute, and blood pressure of 100/60 mm Hg. On examining his left hand, there is swelling, redness, and a 2-cm necrotic puncture wound. His white blood cell count is 14,000/mm3. Blood gas analysis in room air shows a P CO2 lower than 32 mm Hg. What infectious agent is most likely involved?","A 37-year-old carpenter is brought to the emergency department 45 minutes after the sudden development of fever, shortness of breath, and palpitations. Four days earlier, he sustained a puncture wound to his left hand, which he treated using antibacterial cream and a bandage. Currently, his temperature reads 39°C (102.2°F), his pulse rate is 120/minute, he has a respiratory rate of 28/minute, and his blood pressure is 100/60 mm Hg. Examination of his left hand reveals diffuse swelling, erythema, and a 2-cm necrotic puncture wound. His leukocyte count is noted to be 14,000/mm3. Arterial blood gas analysis on room air indicates a P CO2 of less than 32 mm Hg. Which infectious agent is most likely responsible for the patient’s condition?","A 37-year-old man employed as a carpenter is admitted to the emergency department 45 minutes following the acute onset of fever, dyspnea, and palpitations. Four days prior, he sustained a puncture injury to his left hand, which he self-treated with antibacterial cream and a bandage. Upon examination, his temperature is recorded at 39°C (102.2°F), with a pulse of 120/min, a respiratory rate of 28/min, and a blood pressure of 100/60 mm Hg. The left hand displays diffuse swelling, erythema, and a 2-cm necrotic puncture wound. His leukocyte count is elevated at 14,000/mm3. Arterial blood gas analysis on ambient air reveals a P CO2 of less than 32 mm Hg. Which infectious agent is most likely implicated in his clinical presentation?",
63,"A 45-year-old woman visits the office 2 weeks after a vertebral fracture at L1. She had no trauma or prior fractures. She gained 27 kg (60 lb) in 6 months before the fracture. She only takes hydromorphone for pain. She is 163 cm (5 ft 4 in) tall, weighs 100 kg (220 lb) with a BMI of 38 kg/m2. Temperature is 37.0°C (98.6°F), pulse is 86/min, respirations are 12/min, and blood pressure is 145/98 mm Hg. Physical exam shows central obesity and purple striae on the abdomen. Her legs look thin. Lab results: Plasma renin activity 5.0 ng/mL/h (N=0.6–4.0), metanephrine 0.3 nmol/L (N<0.4). Serum cortisol (random) 43 μg/dL, ACTH 120 pg/mL (N<120), aldosterone 8 ng/dL (N=2–9). Urine 24-hour free cortisol 340 µg/24 h (N=3.5–45). What likely increased to cause the fracture?","A 45-year-old woman visits the office for a follow-up exam after she had a vertebral fracture at L1 2 weeks ago. The fracture happened without trauma or other fractures. She gained 27 kg (60 lb) in the 6 months leading up to it. Her only medication is hydromorphone for pain. She is 163 cm (5 ft 4 in) tall and weighs 100 kg (220 lb) with a BMI of 38 kg/m2. Her temperature is 37.0°C (98.6°F), pulse is 86 per minute, respirations are 12 per minute, and blood pressure is 145/98 mm Hg. Physical exam shows central obesity and purple striae on the abdomen. Her lower extremities look thin. Lab studies show: Plasma renin activity 5.0 ng/mL/h (N=0.6–4.0), metanephrine 0.3 nmol/L (N<0.4); Serum random cortisol 43 μg/dL, ACTH 120 pg/mL (N<120), aldosterone 8 ng/dL (N=2–9); Urine 24-hour free cortisol excretion 340 µg/24 h (N=3.5–45). Which process increased is the most likely cause for the fracture?","A 45-year-old woman comes to the office for a follow-up exam 2 weeks after sustaining a vertebral fracture at L1. The fracture was spontaneous with no trauma history or previous fractures. In the 6 months before the fracture, she gained 27 kg (60 lb). Her only medication is hydromorphone for pain relief. She measures 163 cm (5 ft 4 in) in height and weighs 100 kg (220 lb), yielding a BMI of 38 kg/m2. Her vitals are: temperature 37.0°C (98.6°F), pulse 86/min, respirations 12/min, and blood pressure 145/98 mm Hg. Physical examination reveals central obesity and purple striae on her abdomen, with thin lower extremities. Laboratory results are as follows: Plasma renin activity 5.0 ng/mL/h (N=0.6–4.0), metanephrine 0.3 nmol/L (N<0.4); Serum cortisol (random) 43 μg/dL, ACTH 120 pg/mL (N<120), aldosterone 8 ng/dL (N=2–9); Urine 24-hour free cortisol 340 µg/24 h (N=3.5–45). Which increased process is most likely responsible for the fracture in this patient?","A 45-year-old woman comes to the office for a follow-up exam 2 weeks after sustaining a vertebral fracture at L1. The fracture occurred spontaneously, with no history of trauma or previous fractures. She gained 27 kg (60 lb) during the 6 months leading up to the fracture. Her sole medication is hydromorphone, taken as needed for pain. She is 163 cm (5 ft 4 in) tall and currently weighs 100 kg (220 lb), giving her a BMI of 38 kg/m2. Her vital signs include a temperature of 37.0°C (98.6°F), a pulse of 86/min, respirations of 12/min, and a blood pressure of 145/98 mm Hg. During the physical examination, she exhibits central obesity and purple striae bilaterally on the abdomen; her lower extremities appear thin. Laboratory studies display: Plasma renin activity of 5.0 ng/mL/h (N=0.6–4.0), metanephrine at 0.3 nmol/L (N<0.4); Serum cortisol at random is 43 μg/dL, adrenocorticotropic hormone (ACTH) is 120 pg/mL (N<120), and aldosterone measures 8 ng/dL (N=2–9); Urine analysis shows a 24-hour free cortisol excretion of 340 µg/24 h (N=3.5–45). Which of the following increased processes is the most plausible cause of the fracture in this patient?",
64,"A 25-year-old woman is in the emergency room. She had a fever, bad headache, felt light-headed, dizzy, shaking chills, and muscle aches for 3 hours. Five hours ago, she was told she has Lyme disease and started taking doxycycline. She has no other bad sickness and takes no medicine. Her period comes every 28 days. She is having her period now and using a tampon. She seems worried. Her temperature is 37.0°C (98.6°F), pulse is 120/min, breathes 30 times a minute, and blood pressure is 90/60 mm Hg. Oxygen level in the air is 94%. She looks flushed and sweaty. Her heart and lung check is normal. What is the most likely reason for her condition now?","A 25-year-old woman comes to the emergency room after having a fever, severe headache, light-headedness, dizziness, chills, and muscle aches for 3 hours. She was diagnosed with Lyme disease 5 hours ago and started on doxycycline. She has no serious illness and takes no other medications. Her periods are regular, every 28 days, and she is currently using a tampon. She appears anxious. Her temperature is 37.0°C (98.6°F), pulse 120/min, breathing 30/min, and blood pressure is 90/60 mm Hg. Oxygen saturation is 94%. She shows flushing and sweating. Heart and lung exams are normal. What could be the main cause of her condition now?","A 25-year-old woman is seen in the emergency department with a 3-hour history of fever, severe headache, light-headedness, dizziness, shaking chills, and muscle aches. She was diagnosed with Lyme disease 5 hours ago and started doxycycline therapy. She has no other significant medical history and takes no other medications. Her menstrual cycle is regular at 28-day intervals, and she is using a tampon. She appears anxious. Vital signs show her temperature is 37.0°C (98.6°F), pulse is 120/min, respirations are 30/min, and her blood pressure is 90/60 mm Hg. Pulse oximetry on room air indicates an oxygen saturation of 94%. Physical examination reveals flushing and diaphoresis, with no other cardiopulmonary abnormalities. What is the most likely mechanism of her current medical condition?","A 25-year-old woman presents to the emergency department due to a 3-hour onset of fever, severe headache, light-headedness, dizziness, shaking chills, and muscle aches. She received a diagnosis of Lyme disease 5 hours prior and commenced doxycycline treatment. She has no substantial historical medical issues or other medication intake. Her menstrual periods occur at a regular 28-day interval, and she is actively menstruating while using a tampon. She displays signs of anxiety. Her measurements show a temperature of 37.0°C (98.6°F), a pulse rate of 120/min, respiratory rate of 30/min, and blood pressure reading of 90/60 mm Hg. Oxygen saturation stands at 94% with room air. Flushing and diaphoresis are observed on physical examination, with no additional cardiopulmonary irregularities noted. Which mechanism is most likely responsible for the patient’s current state?",
