,en,es,ar,cs,de,id,ko,ja,lv,nl,it
20,"[0.587652862071991, 0.3517187237739563, 0.028158338740468025, 0.015021762810647488, 0.009184589609503746, 0.008263707160949707]","[0.671191930770874, 0.3014225959777832, 0.008417058736085892, 0.008324194699525833, 0.0071202111430466175, 0.0035240843426436186]","[0.6971336007118225, 0.27185049653053284, 0.00975637324154377, 0.008769877254962921, 0.007116104010492563, 0.005373587366193533]","[0.5494104623794556, 0.411135196685791, 0.015212706290185452, 0.010607882402837276, 0.009685427881777287, 0.0039483169093728065]","[0.7015451788902283, 0.2665064334869385, 0.012682593427598476, 0.007704929448664188, 0.006583383772522211, 0.004977423697710037]","[0.4969349503517151, 0.46980205178260803, 0.011614401824772358, 0.010778004303574562, 0.006665126420557499, 0.004205398727208376]","[0.7634744644165039, 0.21441033482551575, 0.0073707737028598785, 0.005355539731681347, 0.0053078606724739075, 0.004080999176949263]","[0.531999945640564, 0.43091708421707153, 0.012121184729039669, 0.01024527009576559, 0.007520488929003477, 0.007196070626378059]","[0.4717728793621063, 0.46567532420158386, 0.0267312191426754, 0.01683044619858265, 0.012916317209601402, 0.0060737826861441135]","[0.5981661677360535, 0.3692832589149475, 0.009778982028365135, 0.00893208384513855, 0.008699780330061913, 0.005139821209013462]","[0.7154209017753601, 0.24810664355754852, 0.009761182591319084, 0.00938184093683958, 0.009012899361550808, 0.00831656064838171]"
21,"[0.515266478061676, 0.14358435571193695, 0.13832531869411469, 0.07076071947813034, 0.06618452817201614, 0.06587859988212585]","[0.3659808337688446, 0.2636237144470215, 0.19609935581684113, 0.1371365785598755, 0.02501060627400875, 0.012148885056376457]","[0.5270993113517761, 0.26886317133903503, 0.13240240514278412, 0.04267369210720062, 0.01893920823931694, 0.010022199712693691]","[0.7417760491371155, 0.08053258061408997, 0.06662430614233017, 0.06519115716218948, 0.04015663266181946, 0.0057192612439394]","[0.8072839975357056, 0.06615837663412094, 0.05551072955131531, 0.0387929305434227, 0.02055215649306774, 0.011701815761625767]","[0.3242104649543762, 0.22759057581424713, 0.15317437052726746, 0.12106094509363174, 0.11397247761487961, 0.059991154819726944]","[0.8268439769744873, 0.060106150805950165, 0.054354749619960785, 0.035641103982925415, 0.01886044628918171, 0.004193571396172047]","[0.8061658143997192, 0.07224869728088379, 0.059151336550712585, 0.03645021468400955, 0.019057800993323326, 0.006926108151674271]","[0.780056893825531, 0.06551842391490936, 0.05625828355550766, 0.03807831555604935, 0.0330958217382431, 0.026992298662662506]","[0.2683738172054291, 0.2332059144973755, 0.20307844877243042, 0.15155039727687836, 0.1183132603764534, 0.025478169322013855]","[0.5753281116485596, 0.1832299828529358, 0.1408986896276474, 0.06339352577924728, 0.03128364309668541, 0.005866020917892456]"
22,"[0.19749267399311066, 0.19640515744686127, 0.1955581158399582, 0.1548522710800171, 0.1342456340789795, 0.08953644335269928, 0.031909771263599396]","[0.23248177766799927, 0.20274828374385834, 0.15243560075759888, 0.14398041367530823, 0.13692286610603333, 0.09567620605230331, 0.03575485944747925]","[0.28438371419906616, 0.25745052099227905, 0.16766594350337982, 0.1392589509487152, 0.09092934429645538, 0.04613747447729111, 0.01417404506355524]","[0.1953950822353363, 0.1908012479543686, 0.1561966985464096, 0.1456127166748047, 0.13555729389190674, 0.11204984039068222, 0.06438709795475006]","[0.22412358224391937, 0.22278062999248505, 0.1616513878107071, 0.14001494646072388, 0.12293907254934311, 0.08461631089448929, 0.04387412965297699]","[0.23206189274787903, 0.20853875577449799, 0.1670718938112259, 0.13616687059402466, 0.13083679974079132, 0.09167259931564331, 0.033651214092969894]","[0.30350038409233093, 0.20065870881080627, 0.18450690805912018, 0.12390846759080887, 0.12039241194725037, 0.04063168540596962, 0.026401570066809654]","[0.3005427420139313, 0.17503972351551056, 0.16681300103664398, 0.10977821797132492, 0.10612090677022934, 0.08887585252523422, 0.05282957851886749]","[0.3094453513622284, 0.1937747299671173, 0.1761358082294464, 0.12025952339172363, 0.09098847955465317, 0.06602039188146591, 0.04337567090988159]","[0.26909923553466797, 0.22458045184612274, 0.16326893866062164, 0.1293209046125412, 0.09832155704498291, 0.08957967907190323, 0.025829225778579712]","[0.2590520679950714, 0.2242146134376526, 0.15912318229675293, 0.14886724948883057, 0.0879092812538147, 0.08084891736507416, 0.039984624832868576]"
23,"[0.2847558856010437, 0.19330546259880066, 0.168701171875, 0.1676943153142929, 0.13794197142124176, 0.04760114476084709]","[0.45972487330436707, 0.21779265999794006, 0.11617924273014069, 0.09477490931749344, 0.09155026823282242, 0.019977957010269165]","[0.48472702503204346, 0.2600199580192566, 0.11450794339179993, 0.09953907877206802, 0.02338086999952793, 0.017825130373239517]","[0.4013536274433136, 0.20755712687969208, 0.13708043098449707, 0.1136002168059349, 0.10379613190889359, 0.03661250323057175]","[0.46503764390945435, 0.19960279762744904, 0.13186562061309814, 0.09491142630577087, 0.08504827320575714, 0.023534270003437996]","[0.49535277485847473, 0.21487337350845337, 0.11221025884151459, 0.11144772917032242, 0.04018225520849228, 0.02593354694545269]","[0.36469709873199463, 0.2993914484977722, 0.16483743488788605, 0.1110813170671463, 0.03283926844596863, 0.02715340629220009]","[0.41522300243377686, 0.1896931231021881, 0.164151132106781, 0.11161185801029205, 0.07508903741836548, 0.04423186182975769]","[0.3645791709423065, 0.22762233018875122, 0.14301614463329315, 0.13504309952259064, 0.09932112693786621, 0.030418170616030693]","[0.4561521112918854, 0.2290961891412735, 0.1122506633400917, 0.09988141804933548, 0.08204198628664017, 0.020577678456902504]","[0.45125043392181396, 0.24215161800384521, 0.12456008046865463, 0.09844505786895752, 0.05912014842033386, 0.024472683668136597]"
24,"[0.5104358792304993, 0.25613412261009216, 0.10564637184143066, 0.08603770285844803, 0.026012709364295006, 0.01573312096297741]","[0.4404911696910858, 0.19998271763324738, 0.1393052041530609, 0.10120567679405212, 0.08880604803562164, 0.030209116637706757]","[0.32660967111587524, 0.18612408638000488, 0.163336843252182, 0.12227275967597961, 0.1144908145070076, 0.08716583251953125]","[0.3889221251010895, 0.20544186234474182, 0.14384301006793976, 0.12173514068126678, 0.09158386290073395, 0.04847399517893791]","[0.3479912281036377, 0.20275087654590607, 0.1742248386144638, 0.11634589731693268, 0.10713881999254227, 0.05154838040471077]","[0.36248576641082764, 0.25344154238700867, 0.17096328735351562, 0.09556053578853607, 0.06022784858942032, 0.05732103809714317]","[0.4416709244251251, 0.1727646291255951, 0.12310541421175003, 0.093760184943676, 0.08749768137931824, 0.08120112121105194]","[0.34882834553718567, 0.22830015420913696, 0.1592799723148346, 0.11229682713747025, 0.10513334721326828, 0.046161480247974396]","[0.3343185782432556, 0.26953476667404175, 0.1499161571264267, 0.09489285200834274, 0.08042921125888824, 0.07090843468904495]","[0.39532238245010376, 0.18543802201747894, 0.13651205599308014, 0.11755231767892838, 0.11543530225753784, 0.04973995313048363]","[0.4737001061439514, 0.14233368635177612, 0.13477951288223267, 0.10175923258066177, 0.07951226085424423, 0.06791522353887558]"
25,"[0.3545559048652649, 0.2849387526512146, 0.14296992123126984, 0.0990552231669426, 0.08930937945842743, 0.029170796275138855]","[0.3450269401073456, 0.26449236273765564, 0.24081754684448242, 0.07750888913869858, 0.06811778992414474, 0.004036432132124901]","[0.31652963161468506, 0.2845922112464905, 0.23414918780326843, 0.08056097477674484, 0.07665615528821945, 0.0075117978267371655]","[0.5607665777206421, 0.21687044203281403, 0.08653668314218521, 0.0635170266032219, 0.05568642169237137, 0.016622887924313545]","[0.39300626516342163, 0.26590636372566223, 0.14076396822929382, 0.09874143451452255, 0.09328887611627579, 0.008293080143630505]","[0.35555800795555115, 0.24166959524154663, 0.15787845849990845, 0.13686011731624603, 0.0971483588218689, 0.01088545098900795]","[0.45862001180648804, 0.18961913883686066, 0.18685711920261383, 0.08183332532644272, 0.08103898912668228, 0.002031394513323903]","[0.3345106840133667, 0.32860833406448364, 0.18986116349697113, 0.07521636039018631, 0.06606804579496384, 0.005735442973673344]","[0.39276400208473206, 0.22749219834804535, 0.1339997798204422, 0.10565033555030823, 0.1015017181634903, 0.038591936230659485]","[0.3181169331073761, 0.2926630973815918, 0.21367321908473969, 0.08542507886886597, 0.08014068007469177, 0.009980971924960613]","[0.40067020058631897, 0.2617577314376831, 0.16630099713802338, 0.08540415018796921, 0.08303936570882797, 0.0028275130316615105]"
26,"[0.6440143585205078, 0.13670089840888977, 0.111859031021595, 0.07612506300210953, 0.02461431547999382, 0.00668626232072711]","[0.7320305109024048, 0.07896902412176132, 0.07507538795471191, 0.05883469432592392, 0.04409760609269142, 0.010992727242410183]","[0.6767971515655518, 0.15706101059913635, 0.05623554438352585, 0.055006243288517, 0.044016074389219284, 0.010883942246437073]","[0.6006613969802856, 0.14739872515201569, 0.10946609824895859, 0.0785147175192833, 0.051255110651254654, 0.012703903950750828]","[0.5169901251792908, 0.2853664457798004, 0.07351966947317123, 0.06257034093141556, 0.047037508338689804, 0.01451588049530983]","[0.6172328591346741, 0.17412641644477844, 0.07578598707914352, 0.05818815156817436, 0.05603744834661484, 0.01862911507487297]","[0.5350156426429749, 0.20093166828155518, 0.09288731217384338, 0.08081572502851486, 0.07756031304597855, 0.012789380736649036]","[0.5370614528656006, 0.19848205149173737, 0.10521948337554932, 0.0675947442650795, 0.06646312773227692, 0.025179138407111168]","[0.538631021976471, 0.18784379959106445, 0.11043430864810944, 0.08599443733692169, 0.06603886932134628, 0.011057515628635883]","[0.6633253693580627, 0.09210427105426788, 0.09097576886415482, 0.08543310314416885, 0.039555080235004425, 0.028606465086340904]","[0.6831192374229431, 0.14203272759914398, 0.07084005326032639, 0.05061561241745949, 0.03675340116024017, 0.0166389849036932]"
27,"[0.4168301820755005, 0.212254598736763, 0.16503342986106873, 0.1233871579170227, 0.04156593605875969, 0.04092869535088539]","[0.35714662075042725, 0.26738229393959045, 0.16709937155246735, 0.09993300586938858, 0.08304639160633087, 0.02539224550127983]","[0.4267575740814209, 0.2027101218700409, 0.13758014142513275, 0.11255327612161636, 0.08541453629732132, 0.034984324127435684]","[0.4732896387577057, 0.18280071020126343, 0.1669374406337738, 0.06625264137983322, 0.061150092631578445, 0.04956942796707153]","[0.49071210622787476, 0.21744151413440704, 0.11581352353096008, 0.07978016883134842, 0.07320523262023926, 0.023047441616654396]","[0.3424120247364044, 0.27948588132858276, 0.13512270152568817, 0.11310486495494843, 0.10657723993062973, 0.023297274485230446]","[0.42705991864204407, 0.1946365237236023, 0.15928004682064056, 0.0972939133644104, 0.08307136595249176, 0.038658201694488525]","[0.3759166896343231, 0.22285456955432892, 0.16191428899765015, 0.11056864261627197, 0.10516669601202011, 0.023579148575663567]","[0.39598214626312256, 0.3615495562553406, 0.10910028964281082, 0.05619548633694649, 0.04794110730290413, 0.029231395572423935]","[0.44771021604537964, 0.3364027142524719, 0.11543592065572739, 0.056499045342206955, 0.029262077063322067, 0.014690019190311432]","[0.3425326943397522, 0.3140985071659088, 0.15180008113384247, 0.09108095616102219, 0.07141325622797012, 0.02907448820769787]"
28,"[0.26436126232147217, 0.23555243015289307, 0.20576150715351105, 0.17222358286380768, 0.1161624938249588, 0.0059386854991316795]","[0.3715484142303467, 0.2913784384727478, 0.16379129886627197, 0.09565486013889313, 0.07520562410354614, 0.0024214102886617184]","[0.36537036299705505, 0.3393895626068115, 0.12279818952083588, 0.11756683886051178, 0.0474432110786438, 0.007431926671415567]","[0.37629079818725586, 0.2500212490558624, 0.2235165238380432, 0.07689355313777924, 0.06935606151819229, 0.00392178213223815]","[0.35159677267074585, 0.24600669741630554, 0.1844966560602188, 0.12043188512325287, 0.09612175822257996, 0.0013462286442518234]","[0.32589077949523926, 0.3110644519329071, 0.1655406951904297, 0.1419057846069336, 0.050019070506095886, 0.005579213611781597]","[0.40379709005355835, 0.26146942377090454, 0.17494246363639832, 0.08548339456319809, 0.07199995964765549, 0.002307633403688669]","[0.3706490099430084, 0.25087931752204895, 0.19634003937244415, 0.0987345427274704, 0.08037655800580978, 0.0030205422081053257]","[0.46566417813301086, 0.18966491520404816, 0.184027761220932, 0.09621930867433548, 0.05767108127474785, 0.006752724759280682]","[0.3832874000072479, 0.2596835494041443, 0.1680457592010498, 0.10408636927604675, 0.08209986239671707, 0.0027970564551651478]","[0.37527501583099365, 0.29768234491348267, 0.15537141263484955, 0.09259062260389328, 0.07640938460826874, 0.002671164693310857]"
29,"[0.34684979915618896, 0.2762056887149811, 0.16009098291397095, 0.08558999747037888, 0.06967023015022278, 0.06159333139657974]","[0.41697975993156433, 0.29501286149024963, 0.10972011834383011, 0.08134810626506805, 0.061138078570365906, 0.03580113500356674]","[0.30347496271133423, 0.28847143054008484, 0.21142087876796722, 0.12929557263851166, 0.050202108919620514, 0.01713506504893303]","[0.34290093183517456, 0.17038778960704803, 0.16547058522701263, 0.13091835379600525, 0.10282301157712936, 0.08749934285879135]","[0.4101581871509552, 0.15419131517410278, 0.1499691754579544, 0.1349455565214157, 0.08064617216587067, 0.0700896605849266]","[0.44069260358810425, 0.19256949424743652, 0.1523161232471466, 0.10497967153787613, 0.08075197041034698, 0.02869012951850891]","[0.3523171842098236, 0.21112588047981262, 0.13902828097343445, 0.129454106092453, 0.08694088459014893, 0.08113370835781097]","[0.4013326168060303, 0.2698763310909271, 0.17122431099414825, 0.08805017173290253, 0.04431576281785965, 0.025200849398970604]","[0.25090765953063965, 0.23667901754379272, 0.20204168558120728, 0.139618918299675, 0.13336539268493652, 0.03738739714026451]","[0.42974239587783813, 0.2557713985443115, 0.14262689650058746, 0.0833398774266243, 0.06278423219919205, 0.025735238566994667]","[0.35037344694137573, 0.2572425901889801, 0.1804419606924057, 0.13076576590538025, 0.060915280133485794, 0.020260943099856377]"
30,"[0.5443088412284851, 0.18298742175102234, 0.13927297294139862, 0.05925200507044792, 0.05561260133981705, 0.01856616884469986]","[0.29141125082969666, 0.25466158986091614, 0.24674786627292633, 0.09090254455804825, 0.078096404671669, 0.0381803922355175]","[0.2742074131965637, 0.26565033197402954, 0.24943807721138, 0.09546171128749847, 0.061406075954437256, 0.05383637920022011]","[0.5123676657676697, 0.19228580594062805, 0.11417878419160843, 0.08865587413311005, 0.06465137004852295, 0.02786046639084816]","[0.2719595730304718, 0.2675645649433136, 0.24325117468833923, 0.07952608168125153, 0.07602947950363159, 0.06166910007596016]","[0.2780649662017822, 0.2631707191467285, 0.2591993808746338, 0.08188601583242416, 0.07515164464712143, 0.04252726212143898]","[0.4014658033847809, 0.23985950648784637, 0.18914376199245453, 0.10133332014083862, 0.05278484523296356, 0.015412713401019573]","[0.36802560091018677, 0.28702208399772644, 0.16084441542625427, 0.08244985342025757, 0.06392618268728256, 0.037731919437646866]","[0.46767693758010864, 0.21148355305194855, 0.13616511225700378, 0.08126626908779144, 0.05717616528272629, 0.04623207077383995]","[0.2592337727546692, 0.2585296332836151, 0.2512775957584381, 0.1093466654419899, 0.06756953150033951, 0.05404278635978699]","[0.28647562861442566, 0.243349090218544, 0.23915351927280426, 0.09027397632598877, 0.08333370834589005, 0.05741403251886368]"
31,"[0.46550148725509644, 0.27322080731391907, 0.12792247533798218, 0.05554084852337837, 0.048372626304626465, 0.02944176085293293]","[0.3795180022716522, 0.2572474777698517, 0.14319220185279846, 0.12561343610286713, 0.05330944433808327, 0.04111945629119873]","[0.33171355724334717, 0.2524215281009674, 0.17251846194267273, 0.1484501212835312, 0.05086332932114601, 0.044033024460077286]","[0.3424588739871979, 0.2475343644618988, 0.14801546931266785, 0.11010081321001053, 0.1006268560886383, 0.051263634115457535]","[0.3355519771575928, 0.24769580364227295, 0.17809903621673584, 0.14100581407546997, 0.05159015581011772, 0.04605717957019806]","[0.3943781554698944, 0.21466459333896637, 0.14903397858142853, 0.14426159858703613, 0.05553971976041794, 0.04212195798754692]","[0.3852689862251282, 0.20545993745326996, 0.16818368434906006, 0.09710489958524704, 0.08387227356433868, 0.06011025235056877]","[0.37354087829589844, 0.25271183252334595, 0.14499099552631378, 0.12769371271133423, 0.05336286500096321, 0.047699686139822006]","[0.3306904733181, 0.22540681064128876, 0.22262568771839142, 0.10588004440069199, 0.05800298601388931, 0.05739396810531616]","[0.33408892154693604, 0.28874796628952026, 0.1689765453338623, 0.130133256316185, 0.04355460777878761, 0.03449868783354759]","[0.35197073221206665, 0.25644025206565857, 0.152791365981102, 0.14429979026317596, 0.05001670494675636, 0.04448115825653076]"
32,"[0.5737027525901794, 0.0866653248667717, 0.08201123028993607, 0.0773242637515068, 0.06361090391874313, 0.059750474989414215, 0.056935083121061325]","[0.3670261800289154, 0.1885347217321396, 0.18322132527828217, 0.12786969542503357, 0.06784344464540482, 0.05279632657766342, 0.01270828302949667]","[0.4027178883552551, 0.18692469596862793, 0.17048116028308868, 0.11281578987836838, 0.062486130744218826, 0.05213577300310135, 0.012438618578016758]","[0.38439175486564636, 0.2029322236776352, 0.13572844862937927, 0.10009609907865524, 0.06267672032117844, 0.06259757280349731, 0.0515771210193634]","[0.2915642261505127, 0.2131388783454895, 0.20375633239746094, 0.1603388488292694, 0.06399711966514587, 0.05715722218155861, 0.010047359392046928]","[0.39814406633377075, 0.19438384473323822, 0.17039886116981506, 0.12453291565179825, 0.0573461651802063, 0.04735570400953293, 0.007838429883122444]","[0.37543532252311707, 0.20175564289093018, 0.17243996262550354, 0.1232299953699112, 0.062061574310064316, 0.054580338299274445, 0.010497118346393108]","[0.35302627086639404, 0.2963138520717621, 0.12039566040039062, 0.09429869800806046, 0.06602595001459122, 0.05941680818796158, 0.010522794909775257]","[0.3359996974468231, 0.20221030712127686, 0.16304725408554077, 0.12665043771266937, 0.06866925954818726, 0.05711228772997856, 0.046310748904943466]","[0.341058611869812, 0.2925034463405609, 0.11703804135322571, 0.10191722214221954, 0.07407914102077484, 0.06598683446645737, 0.007416647393256426]","[0.3511982560157776, 0.2046402543783188, 0.17439758777618408, 0.12063486874103546, 0.07335647940635681, 0.05684470385313034, 0.018927818164229393]"
33,"[0.7269499897956848, 0.08135372400283813, 0.05851513147354126, 0.057624757289886475, 0.044264886528253555, 0.03129148855805397]","[0.21686887741088867, 0.2139483243227005, 0.20086494088172913, 0.18110226094722748, 0.17584246397018433, 0.011373123154044151]","[0.5395557284355164, 0.1545208990573883, 0.11649653315544128, 0.10197343677282333, 0.08447100967168808, 0.0029823877848684788]","[0.4943595826625824, 0.15915755927562714, 0.15454749763011932, 0.1147240549325943, 0.07245554029941559, 0.004755764733999968]","[0.5450983047485352, 0.15753105282783508, 0.14243869483470917, 0.11204104125499725, 0.03836893290281296, 0.004522001836448908]","[0.39177531003952026, 0.16980324685573578, 0.1517869234085083, 0.14924925565719604, 0.13213738799095154, 0.005247935187071562]","[0.4713299572467804, 0.19254209101200104, 0.14018505811691284, 0.13756176829338074, 0.05036766827106476, 0.00801347941160202]","[0.362140417098999, 0.19680184125900269, 0.17299331724643707, 0.144396111369133, 0.11981925368309021, 0.0038489324506372213]","[0.28661754727363586, 0.20888791978359222, 0.178409606218338, 0.16867850720882416, 0.15173184871673584, 0.0056745135225355625]","[0.29620790481567383, 0.2073674499988556, 0.17500150203704834, 0.17017608880996704, 0.14506681263446808, 0.006180123426020145]","[0.3366754353046417, 0.1906047910451889, 0.17500238120555878, 0.16007699072360992, 0.13208021223545074, 0.005560248624533415]"
34,"[0.7503833174705505, 0.0931827649474144, 0.06625308841466904, 0.03872285410761833, 0.03264478221535683, 0.018813159316778183]","[0.4399431645870209, 0.1765209287405014, 0.11984943598508835, 0.09769212454557419, 0.09581263363361359, 0.07018176466226578]","[0.4634203314781189, 0.15677867829799652, 0.11558877676725388, 0.10128398984670639, 0.08551070094108582, 0.07741747051477432]","[0.5425704121589661, 0.14854608476161957, 0.13021887838840485, 0.08233920484781265, 0.05959830433130264, 0.036727119237184525]","[0.4778815805912018, 0.1530756652355194, 0.13374780118465424, 0.08973966538906097, 0.07892663776874542, 0.066628597676754]","[0.4286901354789734, 0.20506472885608673, 0.14468933641910553, 0.09274221956729889, 0.08655084669589996, 0.04226277023553848]","[0.4187551438808441, 0.18256603181362152, 0.14989499747753143, 0.09848933666944504, 0.0813910961151123, 0.06890340894460678]","[0.3596480190753937, 0.24662911891937256, 0.1369960606098175, 0.11449527740478516, 0.08364463597536087, 0.05858686938881874]","[0.4890022873878479, 0.13958510756492615, 0.11624540388584137, 0.11241485923528671, 0.09319021552801132, 0.04956214874982834]","[0.49136483669281006, 0.17472481727600098, 0.13029076159000397, 0.10006214678287506, 0.0540495365858078, 0.04950786009430885]","[0.338278204202652, 0.23622742295265198, 0.14600327610969543, 0.13203109800815582, 0.07433339208364487, 0.07312661409378052]"
35,"[0.29542484879493713, 0.22799897193908691, 0.15644009411334991, 0.1351420134305954, 0.1151881217956543, 0.06980592012405396]","[0.2729223668575287, 0.22083406150341034, 0.19475029408931732, 0.18526509404182434, 0.06722486764192581, 0.05900322645902634]","[0.3680521547794342, 0.19966690242290497, 0.16978557407855988, 0.13496680557727814, 0.1103530079126358, 0.017175590619444847]","[0.3210057318210602, 0.29273346066474915, 0.15979838371276855, 0.12585483491420746, 0.0530448816716671, 0.04756272956728935]","[0.25557807087898254, 0.24432824552059174, 0.18444517254829407, 0.1674656718969345, 0.07437575608491898, 0.07380709052085876]","[0.33152636885643005, 0.2608075737953186, 0.21336552500724792, 0.06980707496404648, 0.06512204557657242, 0.05937141925096512]","[0.29325369000434875, 0.26286590099334717, 0.2021917849779129, 0.11436884850263596, 0.06586335599422455, 0.06145641580224037]","[0.26368701457977295, 0.25511348247528076, 0.18267957866191864, 0.17610377073287964, 0.06542066484689713, 0.056995488703250885]","[0.2681402266025543, 0.23742228746414185, 0.2274266481399536, 0.17005760967731476, 0.05749138072133064, 0.03946192190051079]","[0.3275225758552551, 0.3196311891078949, 0.2292463183403015, 0.0645541250705719, 0.049690745770931244, 0.009355072863399982]","[0.2680334150791168, 0.21863628923892975, 0.19857969880104065, 0.16079449653625488, 0.08113657683134079, 0.07281947135925293]"
36,"[0.31239059567451477, 0.2502139210700989, 0.22987517714500427, 0.125931054353714, 0.040847234427928925, 0.04074207320809364]","[0.37112897634506226, 0.27625954151153564, 0.1663382202386856, 0.08156999945640564, 0.07518816739320755, 0.029515070840716362]","[0.35266104340553284, 0.24110618233680725, 0.21827855706214905, 0.08825653791427612, 0.06500706821680069, 0.03469064086675644]","[0.30589333176612854, 0.23550479114055634, 0.19989509880542755, 0.14604344964027405, 0.07496703416109085, 0.037696294486522675]","[0.2834809422492981, 0.2696947157382965, 0.20515842735767365, 0.1082003191113472, 0.08647815883159637, 0.04698741436004639]","[0.34530308842658997, 0.266701340675354, 0.1738528162240982, 0.1149221882224083, 0.058643076568841934, 0.04057750478386879]","[0.3901906907558441, 0.2590005695819855, 0.17282898724079132, 0.10124381631612778, 0.04363704472780228, 0.03309887275099754]","[0.38872021436691284, 0.23983189463615417, 0.19287672638893127, 0.1156102642416954, 0.04594516009092331, 0.017015784978866577]","[0.2937675714492798, 0.23656606674194336, 0.21966594457626343, 0.10731720179319382, 0.098782017827034, 0.04390119016170502]","[0.3861580491065979, 0.2368813008069992, 0.16768541932106018, 0.09176546335220337, 0.08684708923101425, 0.03066268563270569]","[0.31831756234169006, 0.2778629660606384, 0.1844126433134079, 0.10413394123315811, 0.07055879384279251, 0.044714171439409256]"
37,"[0.3691245913505554, 0.3070604205131531, 0.14526768028736115, 0.08604083955287933, 0.05589544400572777, 0.036611076444387436]","[0.3075200915336609, 0.2716941833496094, 0.20169004797935486, 0.09702283143997192, 0.06575732678174973, 0.05631553754210472]","[0.4759296476840973, 0.18364760279655457, 0.1620466411113739, 0.09944301843643188, 0.05523980036377907, 0.02369328960776329]","[0.31183913350105286, 0.3053762912750244, 0.12567663192749023, 0.10204280912876129, 0.10104469954967499, 0.05402037873864174]","[0.29199981689453125, 0.22779083251953125, 0.1822451800107956, 0.10680374503135681, 0.10312812775373459, 0.08803233504295349]","[0.4887329638004303, 0.15735718607902527, 0.1511339396238327, 0.14002206921577454, 0.05671735107898712, 0.006036485079675913]","[0.2632256746292114, 0.2596694529056549, 0.19995136559009552, 0.11353664100170135, 0.09853844344615936, 0.06507846713066101]","[0.4131513237953186, 0.20281781256198883, 0.17912286520004272, 0.11387588083744049, 0.05304368585348129, 0.03798837587237358]","[0.2993319630622864, 0.233261838555336, 0.18776625394821167, 0.11773049831390381, 0.11388881504535675, 0.0480206198990345]","[0.316871702671051, 0.2281540483236313, 0.19468708336353302, 0.1069999635219574, 0.09380817413330078, 0.059479013085365295]","[0.36482393741607666, 0.2633948028087616, 0.2195785790681839, 0.061384934931993484, 0.06030578538775444, 0.030511977151036263]"
38,"[0.4910966157913208, 0.30804136395454407, 0.09754572808742523, 0.05923255905508995, 0.04052157700061798, 0.00356218870729208]","[0.3686821162700653, 0.24134300649166107, 0.11430228501558304, 0.10670708864927292, 0.09669102728366852, 0.07227452099323273]","[0.4256357252597809, 0.14765149354934692, 0.13711735606193542, 0.12523767352104187, 0.09128402918577194, 0.07307375967502594]","[0.3042150139808655, 0.18716298043727875, 0.16563574969768524, 0.12206507474184036, 0.12122944742441177, 0.0996917188167572]","[0.317423015832901, 0.1630062609910965, 0.14316534996032715, 0.13907340168952942, 0.12777338922023773, 0.10955856740474701]","[0.356158971786499, 0.23538023233413696, 0.1337619125843048, 0.13083302974700928, 0.07794387638568878, 0.06592200696468353]","[0.33160191774368286, 0.20501068234443665, 0.18223735690116882, 0.11082957684993744, 0.10483471304178238, 0.06548580527305603]","[0.3370991349220276, 0.3294561207294464, 0.15212388336658478, 0.0941631942987442, 0.06949233263731003, 0.01766529120504856]","[0.32611414790153503, 0.16302387416362762, 0.15747863054275513, 0.14428356289863586, 0.11637388169765472, 0.09272588044404984]","[0.540424644947052, 0.1461559385061264, 0.10471445322036743, 0.10286600887775421, 0.08542177081108093, 0.020417071878910065]","[0.27271950244903564, 0.26618432998657227, 0.13849052786827087, 0.11872324347496033, 0.10796140879392624, 0.09592098742723465]"
39,"[0.24968798458576202, 0.2246539443731308, 0.21175187826156616, 0.1540706902742386, 0.09984257817268372, 0.05999293178319931]","[0.235253244638443, 0.21588134765625, 0.17917890846729279, 0.16326533257961273, 0.10955076664686203, 0.09687036275863647]","[0.23892483115196228, 0.21882444620132446, 0.19000522792339325, 0.1337050199508667, 0.11110866814851761, 0.1074318215250969]","[0.2766188979148865, 0.22638532519340515, 0.16467635333538055, 0.15169525146484375, 0.12951594591140747, 0.05110819265246391]","[0.32412242889404297, 0.2269631326198578, 0.17200540006160736, 0.12923869490623474, 0.08341237902641296, 0.06425797194242477]","[0.27198663353919983, 0.21762874722480774, 0.18589900434017181, 0.12293010205030441, 0.10312201827764511, 0.09843341261148453]","[0.2614995241165161, 0.24616564810276031, 0.18205049633979797, 0.15633146464824677, 0.09071789681911469, 0.06323498487472534]","[0.20648719370365143, 0.2033679187297821, 0.15840953588485718, 0.15367157757282257, 0.1496540904045105, 0.12840965390205383]","[0.36383599042892456, 0.1779530942440033, 0.1550842672586441, 0.13951443135738373, 0.12352586537599564, 0.04008638113737106]","[0.2520812749862671, 0.2055170238018036, 0.1619257628917694, 0.1421699821949005, 0.12925948202610016, 0.10904647409915924]","[0.26072490215301514, 0.2256855070590973, 0.16141587495803833, 0.12556810677051544, 0.12046492844820023, 0.10614065080881119]"
